Time,GPS_X,GPS_Y,GPS_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
39.4,,,,-2.641597921,-0.017480632,9.846178239,0.000704174,-0.006794645,0.092412492
39.45,,,,-2.558281802,-0.045977393,9.763111256,0.00092931,-0.006020926,0.088296185
39.5,,,,-0.972604975,-0.05361995,10.21465796,0.000438668,-0.014717074,0.082519573
39.55,,,,0.01495605,0.245039453,10.11743105,0.000774302,-0.021422258,0.083216346
39.6,,,,0.026042438,0.202167223,9.671751378,0.002109379,-0.018534208,0.083246692
39.65,,,,0.105720564,0.213399335,9.461313683,0.002630188,-0.010925994,0.083257493
39.7,,,,0.124402605,0.231055766,9.431764226,0.001928037,-0.002452268,0.083258804
39.75,,,,0.097393832,0.241990477,9.52963144,0.00049465,0.004036871,0.083261574
39.8,,,,0.049200662,0.241037771,9.680575959,-0.000857931,0.007225096,0.083265756
39.85,,,,0.001282496,0.231298965,9.819806768,-0.001540367,0.00722338,0.083268976
39.9,,,,-0.031913975,0.219467038,9.909021283,-0.001420044,0.00506143,0.083270206
39.95,,,,-0.045251056,0.211193254,9.938331763,-0.000747312,0.002080749,0.083269782
40,316.7177607,-124.9802846,0.676237263,-0.041208324,0.208809969,9.919213924,7.22E-05,-0.000564688,0.08326838
40.05,,,,-1.952586691,-1.960844631,9.30351474,-0.017192844,0.010136283,0.0529601
40.1,,,,-2.512271675,-1.685991597,9.447356224,-0.013884584,0.018174998,0.029878771
40.15,,,,-2.57493835,-1.039633249,9.835175465,-0.002289038,0.01808481,0.017729763
40.2,,,,-2.332723631,-0.791284035,10.21365135,0.006159795,0.00967384,0.006887578
40.25,,,,-1.256168541,-0.708207089,10.55637963,0.007923298,-0.006610305,-0.005732955
40.3,,,,-0.184535727,-0.104981164,10.49659926,0.005612696,-0.0221453,-0.006828816
40.35,,,,-0.026228764,-0.091137696,9.930711661,0.003982017,-0.025655257,-0.008041373
40.4,,,,0.093067747,-0.060785783,9.523254092,0.002769455,-0.020017282,-0.008811248
40.45,,,,0.166431228,-0.037419137,9.351874259,0.001567049,-0.010070045,-0.009280158
40.5,,,,0.169492827,-0.021908665,9.381394251,0.000269885,-0.000241621,-0.009560813
